State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
Ohio,FY 2017,25195,14960.99999999988,11845.000000000035,10233.999999999922,3372.999999999984,2936.000000000001,1538.0000000000111
Ohio,FY 2018,26744,15729.999999999965,12325.000000000062,11013.999999999984,3579.0000000000036,3116.999999999995,1566.0000000000182
Oklahoma,FY 2009,15274,8693.999999999984,4716.999999999993,6580.000000000006,3425.0000000000086,2277.999999999996,1563.9999999999964
Oklahoma,FY 2010,13056,7846.000000000019,4334.99999999998,5210,2869.000000000003,1913.0000000000025,1627.9999999999884
Oklahoma,FY 2011,12639,8286.99999999999,4835.999999999996,4352.00000000001,2961.0000000000073,1872.0000000000068,1293.9999999999923
Oklahoma,FY 2012,13622,9120.000000000015,5384.999999999995,4502,2804.999999999994,1585.000000000001,1532.999999999997
Oklahoma,FY 2013,15077,10535.00000000005,6032.999999999985,4541.999999999998,3237.9999999999977,1754.0000000000023,1285.999999999995
Oklahoma,FY 2014,16345,11457.000000000038,5860.000000000023,4887.999999999998,3972.9999999999936,2259.9999999999977,1381.999999999993
Oklahoma,FY 2015,16841,11163.000000000053,5457.999999999961,5678.000000000009,4287.999999999995,2254.999999999999,2159.000000000012
Oklahoma,FY 2016,16273,10061.999999999984,5197.000000000021,6211.000000000012,4366.0000000000155,2398.9999999999886,2487
Oklahoma,FY 2017,15139,9314.999999999958,5127.9999999999845,5823.999999999998,4075.000000000009,2091.0000000000005,2593.000000000009
Oklahoma,FY 2018,13954,8633.999999999989,4697.00000000001,5319.999999999996,4013.999999999998,1937.0000000000105,2238.0000000000077
Oregon,FY 2009,13393,8649.999999999995,4600.999999999994,4743.000000000025,1839.9999999999998,1238.0000000000005,1101.0000000000066
Oregon,FY 2010,13263,9001.00000000002,4826.000000000014,4262.00000000003,1826.9999999999804,1067.9999999999939,780.0000000000099
Oregon,FY 2011,12991,8530.999999999965,4250.000000000007,4459.9999999999845,1829.9999999999977,1253.9999999999993,657.0000000000058
Oregon,FY 2012,12515,8685.999999999996,4214.9999999999745,3829.0000000000173,1873.0000000000011,1385,682.9999999999961
Oregon,FY 2013,12226,8202.000000000004,3797.0000000000055,4023.999999999982,1853.9999999999968,1308.0000000000032,768
Oregon,FY 2014,11062,7394.999999999978,3534.0000000000055,3667.000000000009,1896.9999999999964,1585.9999999999911,847.0000000000019
Oregon,FY 2015,10899,7388.00000000001,3913.9999999999964,3511.0000000000036,1756.9999999999964,1393.9999999999993,835.0000000000052
Oregon,FY 2016,10816,7630.999999999978,3864.999999999999,3185.0000000000095,1665.9999999999966,1235.999999999996,767.9999999999995
Oregon,FY 2017,11149,7972.000000000002,4138.000000000032,3177.000000000008,1613.0000000000034,1196.9999999999989,706.9999999999974
